occ1960,occ1960descr,Recode,Recodedescr,,,
0,Accountants and auditors,11,Managers,,,
10,Actors and actresses,12,Professionals,,,
12,Airplane pilots and navigators,13,Technicians,,,
13,Architects,12,Professionals,,,
14,Artists and art teachers,12,Professionals,,,
15,Athletes,12,Professionals,,,
20,Authors,12,Professionals,,,
21,Chemists,12,Professionals,,,
22,Chiropractors,12,Professionals,,,
23,Clergymen,12,Professionals,,,
30,College presidents and deans,12,Professionals,,,
31,"Professors and instructors, agricultural sciences",12,Professionals,,,
32,"Professors and instructors, biological sciences",12,Professionals,,,
34,"Professors and instructors, chemistry",12,Professionals,,,
35,"Professors and instructors, economics",12,Professionals,,,
40,"Professors and instructors, engineering",12,Professionals,,,
41,"Professors and instructors, geology and geophysics",12,Professionals,,,
42,"Professors and instructors, mathematics",12,Professionals,,,
43,"Professors and instructors, medical sciences",12,Professionals,,,
45,"Professors and instructors, physics",12,Professionals,,,
50,"Professors and instructors, psychology",12,Professionals,,,
51,"Professors and instructors, statistics",12,Professionals,,,
52,"Professors and instructors, natural sciences, n.e.c.",12,Professionals,,,
53,"Professors and instructors, social sciences, n.e.c.",12,Professionals,,,
54,"Professors and instructors, nonscientific subjects",12,Professionals,,,
60,"Professors and instructors, subject not specified",12,Professionals,,,
70,Dancers and dancing teachers,12,Professionals,,,
71,Dentists,12,Professionals,,,
72,Designers,12,Professionals,,,
73,Dietitians and nutritionists,12,Professionals,,,
74,Draftsmen,13,Technicians,,,
75,Editors and reporters,12,Professionals,,,
80,"Engineers, aeronautical",12,Professionals,,,
81,"Engineers, chemical",12,Professionals,,,
82,"Engineers, civil",12,Professionals,,,
83,"Engineers, electrical",12,Professionals,,,
84,"Engineers, industrial",12,Professionals,,,
85,"Engineers, mechanical",12,Professionals,,,
90,"Engineers, metallurgical, and metallurgists",12,Professionals,,,
91,"Engineers, mining",12,Professionals,,,
92,"Engineers, sales",12,Professionals,,,
93,"Engineers, n.e.c.",12,Professionals,,,
101,"Entertainers, n.e.c.",12,Professionals,,,
102,Farm and home management advisors,12,Professionals,,,
103,Foresters and conservationists,12,Professionals,,,
104,Funeral directors and embalmers,11,Managers,,,
105,Lawyers and judges,12,Professionals,,,
111,Librarians,12,Professionals,,,
120,Musicians and music teachers,12,Professionals,,,
130,Agricultural scientists,12,Professionals,,,
131,Biological scientists,12,Professionals,,,
134,Geologists and geophysicists,12,Professionals,,,
135,Mathematicians,12,Professionals,,,
140,Physicists,12,Professionals,,,
145,Miscellaneous natural scientists,12,Professionals,,1,
150,"Nurses, professional",12,Professionals,,,
151,"Nurses, student professional",12,Professionals,,,
152,Optometrists,12,Professionals,,,
153,Osteopaths,12,Professionals,,,
154,Personnel and labor relations workers,22,Office and admin,,,
160,Pharmacists,12,Professionals,,,
161,Photographers,12,Professionals,,,
162,Physicians and surgeons,12,Professionals,,,
163,Public relations men and publicity writers,11,Managers,,,
164,Radio operators,13,Technicians,,,
165,Recreation and group workers,34,Personal care and personal services,,,
170,Religious workers,12,Professionals,,,
171,"Social and welfare workers, except group",12,Professionals,,,
172,Economists,12,Professionals,,,
173,Psychologists,12,Professionals,,,
174,Statisticians and actuaries,12,Professionals,,,
175,Miscellaneous social scientists,12,Professionals,,,
180,Sports instructors and officials,12,Professionals,,,
181,Surveyors,13,Technicians,,,
182,"Teachers, elementary schools",12,Professionals,,,
183,"Teachers, secondary schools",12,Professionals,,,
184,"Teachers, n.e.c.",12,Professionals,,,
185,"Technicians, medical and dental",13,Technicians,,,
190,"Technicians, electrical and electronic",13,Technicians,,,
191,"Technicians, other engineering and physical sciences",13,Technicians,,,
192,"Technicians, n.e.c.",13,Technicians,,,
193,"Therapists and healers, n.e.c.",12,Professionals,,,
194,Veterinarians,13,Technicians,,,
195,"Professional, technical, and kindred workers, n.e.c. ",13,Technicians,,,
200,Farmers (owners and tenants),40,Agriculture,,,
222,Farm managers ,40,Agriculture,,,
250,"Buyers and department heads, store",11,Managers,,,
251,"Buyers and shippers, farm products",11,Managers,,,
252,"Conductors, railroad",31,"Operators, fabricators and laborers",,,
253,Credit men,22,Managers,,,
254,"Floor men and floor managers, store",21,Sales,,,
260,"Inspectors, public administration",11,Managers,,,
262,"Managers and superintendents, building",11,Managers,,,
265,"Officers, pilots, pursers, and engineers, ship",11,Managers,,,
270,"Officials and administrators, n.e.c., public administration",11,Managers,,,
275,"Officials, lodge, society, union, etc.",11,Managers,,,
280,Postmasters,11,Managers,,,
285,"Purchasing agents and buyers, n.e.c.",11,Managers,,,
290,"Managers, officials, and proprietors, n.e.c. ",11,Managers,,,
301,"Agents, n.e.c.",11,Managers,,,
302,"Attendants and assistants, library",22,Office and admin,,,
303,"Attendants, physician's and dentist's office",34,Personal care and personal services,,,
304,"Baggagemen, transportation",34,Personal care and personal services,,,
305,Bank tellers,22,Office and admin,,,
310,Bookkeepers,22,Office and admin,,,
312,Cashiers,21,Sales,,,
313,"Collectors, bill and account",22,Office and admin,,,
314,"Dispatchers and starters, vehicle",22,Office and admin,,,
315,Express messengers and railway mail clerks,22,Office and admin,,,
320,File clerks,22,Office and admin,,,
321,"Insurance adjusters, examiners, and investigators",22,Office and admin,,,
323,Mail carriers,22,Office and admin,,,
324,Messengers and office boys,22,Office and admin,,,
325,Office machine operators,22,Office and admin,,,
333,Payroll and timekeeping clerks,22,Office and admin,,,
340,Postal clerks,22,Office and admin,,,
341,Receptionists,22,Office and admin,,,
342,Secretaries,22,Office and admin,,,
343,Shipping and receiving clerks,22,Office and admin,,,
345,Stenographers,22,Office and admin,,,
350,Stock clerks and storekeepers,22,Office and admin,,,
351,Telegraph messengers,22,Office and admin,,,
352,Telegraph operators,22,Office and admin,,,
