occ1990dd,occ1990dd_desc,Recode,Recode_desc
4,"Chief executives and public administrators, legislators",11,Managers
7,Financial managers,11,Managers
8,Human resources and labor relations managers,11,Managers
13,"Managers and specialists in marketing, advertising, and public relations",11,Managers
14,Managers in education and related fields,11,Managers
15,Managers of medicine and health occupations,11,Managers
18,Managers of properties and real estate,11,Managers
19,Funeral directors,11,Managers
22,"Managers and administrators, n.e.c.",11,Managers
23,Accountants and auditors,11,Managers
24,Insurance underwriters,11,Managers
25,Other financial specialists,11,Managers
26,Management analysts,11,Managers
27,"Personnel, HR, training, and labor relations specialists",11,Managers
28,"Purchasing agents and buyers, of farm products",11,Managers
29,"Buyers, wholesale and retail trade",11,Managers
33,"Purchasing managers, agents and buyers, n.e.c.",11,Managers
34,Business and promotion agents,11,Managers
35,Construction inspectors,11,Managers
36,"Inspectors and compliance officers, outside construction",11,Managers
37,Management support occupations,11,Managers
43,Architects,12,Professionals
44,Aerospace engineer,12,Professionals
45,"Metallurgical and materials engineers, variously phrased",12,Professionals
47,"Petroleum, mining, and geological engineers",12,Professionals
48,Chemical engineers,12,Professionals
53,Civil engineers,12,Professionals
55,Electrical engineer,12,Professionals
56,Industrial engineers,12,Professionals
57,Mechanical engineers,12,Professionals
59,Not-elsewhere-classified engineers,12,Professionals
64,Computer systems analysts and computer scientists,12,Professionals
65,Operations and systems researchers and analysts,12,Professionals
66,Actuaries,12,Professionals
68,Mathematicians and statisticians,12,Professionals
69,Physicists and astronomers,12,Professionals
73,Chemists,12,Professionals
74,Atmospheric and space scientists,12,Professionals
75,Geologists,12,Professionals
76,"Physical scientists, n.e.c.",12,Professionals
77,Agricultural and food scientists,12,Professionals
78,Biological scientists,12,Professionals
79,Foresters and conservation scientists,12,Professionals
83,Medical scientists,12,Professionals
84,Physicians,12,Professionals
85,Dentists,12,Professionals
86,Veterinarians,12,Professionals
87,Optometrists,12,Professionals
88,Podiatrists,12,Professionals
89,Other health and therapy,12,Professionals
95,Registered nurses,12,Professionals
96,Pharmacists,12,Professionals
97,Dietitians and nutritionists,12,Professionals
98,Respiratory therapists,12,Professionals
99,Occupational therapists,12,Professionals
103,Physical therapists,12,Professionals
104,Speech therapists,12,Professionals
105,"Therapists, n.e.c.",12,Professionals
106,Physicians' assistants,12,Professionals
154,Subject instructors (college),12,Professionals
155,Kindergarten and earlier school teachers,12,Professionals
156,Primary school teachers,12,Professionals
157,Secondary school teachers,12,Professionals
158,Special education teachers,12,Professionals
159,"Teachers , n.e.c.",12,Professionals
163,Vocational and educational counselors,12,Professionals
164,Librarians,12,Professionals
165,Archivists and curators,12,Professionals
166,"Economists, market researchers, and survey researchers",12,Professionals
167,Psychologists,12,Professionals
169,"Social scientists, n.e.c.",12,Professionals
173,Urban and regional planners,12,Professionals
174,Social workers,12,Professionals
176,Clergy and religious workers,12,Professionals
177,Welfare service workers,12,Professionals
178,Lawyers and judges,12,Professionals
183,Writers and authors,12,Professionals
184,Technical writers,12,Professionals
185,Designers,12,Professionals
186,Musician or composer,12,Professionals
187,"Actors, directors, producers",12,Professionals
188,"Art makers: painters, sculptors, craft-artists, and print-makers",12,Professionals
189,Photographers,12,Professionals
193,Dancers,12,Professionals
194,Art/entertainment performers and related,12,Professionals
195,Editors and reporters,12,Professionals
198,Announcers,12,Professionals
199,"Athletes, sports instructors, and officials",12,Professionals
203,Clinical laboratory technologies and technicians,13,Technicians
204,Dental hygenists,13,Technicians
